Title|Budget|Gross|Year
Fear and Loathing in Las Vegas|18500000|10562387|1998
Firestorm|19000000|8041665|1998
Frida|12000000|25776062|2002
Frogs for Snakes|-1|20693|1998
From Hell|35000000|31598308|2001
Gloria|30000000|4155234|1999
Gods and Monsters|3500000|6390032|1998
Godzilla|130000000|136023813|1998
Stepmom|50000000|91030827|1998
The Governess|-1|3719492|1998
The Green Mile|60000000|136801374|1999
Strike!|-1|780471|1998
Half Baked|8000000|17278980|1998
Halloween H20: 20 Years Later|17000000|55004135|1998
Hard Rain|70000000|19819494|1998
Heaven|-1|1983|1998
The Hi-Lo Country|-1|163810|1998
Holy Man|60000000|12065985|1998
How Stella Got Her Groove Back|20000000|37672350|1998
The General|-1|1211865|1998
Ride|-1|5476059|1998
Illuminata|-1|836641|1998
In Dreams|30000000|11347909|1999
Jakob the Liar|15000000|4956401|1999
Living Out Loud|12000000|12902790|1998
Kissing a Fool|-1|4002640|1998
Knock Off|35000000|10076136|1998
Krippendorf's Tribe|-1|7514883|1998
The Last Days of Disco|-1|2987297|1998
La leggenda del pianista sull'oceano|9000000|259127|1998
Lock, Stock and Two Smoking Barrels|960000|3650677|1998
The Lord of the Rings: The Fellowship of the Ring|93000000|314776114|2001
Lost in Space|80000000|69102910|1998
Jane Austen's Mafia!|10000000|19882538|1998
Major League: Back to the Minors|-1|3551208|1998
The Mask of Zorro|65000000|93771072|1998
Martha, Meet Frank, Daniel and Laurence|-1|94176|1998
Matusalem II: le dernier des Beauchesne|-1|173462|1997
Mercury Rising|60000000|32940507|1998
Mighty Joe Young|90000000|50628009|1998
The Million Dollar Hotel|8000000|52526|2000
Mission: Impossible II|125000000|215397307|2000
The Mod Squad|-1|13260050|1999
Mulan|70000000|120618403|1998
My Favorite Martian|60000000|36830057|1999
My Giant|-1|7985929|1998
The Negotiator|50000000|44484065|1998
The Newton Boys|27000000|10297897|1998
A Night at the Roxbury|17000000|30324946|1998
The Object of My Affection|15000000|29106737|1998
The Odd Couple II|-1|18878566|1998
One Man's Hero|11350000|229311|1999
One True Thing|30000000|23209440|1998
The Opposite of Sex|5000000|5879254|1998
Out of Sight|48000000|37339525|1998
Palmetto|-1|5840581|1998
The Parent Trap|-1|66304095|1998
The Patriot|35000000|478806|1998
A Perfect Murder|-1|67629105|1998
Permanent Midnight|-1|1166199|1998
Pleasantville|40000000|40568025|1998
Practical Magic|60000000|46611204|1998
A Price Above Rubies|-1|1081957|1998
The Prince of Egypt|60000000|101217900|1998
Pushing Tin|33000000|8406264|1999
Quest for Camelot|40000000|22717758|1998
Le violon rouge|10000000|9473382|1998
Resident Evil|32000000|40119709|2002
Rush Hour|33000000|141153686|1998
Safe Men|1000000|21210|1998
Saving Private Ryan|70000000|216119491|1998
Senseless|-1|13035599|1998
The Impostors|-1|2197921|1998
The Shipping News|35000000|11405825|2001
Six Days Seven Nights|70000000|74329966|1998
Slums of Beverly Hills|5000000|5480318|1998
Snake Eyes|73000000|55585389|1998
Snow Falling on Cedars|36000000|14378353|1999
A Soldier's Daughter Never Cries|-1|1759596|1998
Sour Grapes|-1|219932|1998
Species II|-1|19165560|1998
Star Trek: Insurrection|58000000|70117571|1998
Such a Long Journey|-1|92943|1998
Tarzan|150000000|171085177|1999
Tarzan and the Lost City|20000000|2147114|1998
Tea with Mussolini|12000000|14348123|1999
From Dusk Till Dawn 2: Texas Blood Money|5000000|38000|1999
The Theory of Flight|-1|71999|1998
The Thin Red Line|52000000|36385763|1998
Titus|-1|1921350|1999
U.S. Marshals|60000000|57823170|1998
Vampires|20000000|20241395|1998
Velvet Goldmine|-1|1053788|1998
Les couloirs du temps: Les visiteurs 2|140000000|146072|1998
Wag the Dog|15000000|43022524|1997
The Wedding Singer|-1|80224502|1998
What Dreams May Come|85000000|55350897|1998
Wild Things|20000000|29753944|1998
Wild Wild West|170000000|113745408|1999
The Wisdom of Crocodiles|-1|21404|1998
My Life So Far|-1|616310|1999
Wrongfully Accused|-1|9604029|1998
The X Files|66000000|83892374|1998
X-Men|75000000|157299717|2000
Zero Effect|5000000|1980338|1998
eXistenZ|31000000|2840417|1999
Fantasia/2000|80000000|60507228|1999
Men in Black II|140000000|190418803|2002
Titan A.E.|75000000|22751979|2000
Star Wars: Episode I - The Phantom Menace|115000000|431065444|1999
The Emperor's New Groove|100000000|89296573|2000
Corpse Bride|40000000|53337608|2005
Star Wars: Episode II - Attack of the Clones|115000000|310675583|2002
Star Wars: Episode III - Revenge of the Sith|113000000|380262555|2005
Gadjo dilo|-1|673153|1997
Lethal Weapon 4|140000000|129734803|1998
Trash|850000|5154|1999
La conciergerie|-1|160944|1997
Return to Me|24000000|32662299|2000
The Acid House|-1|142783|1998
Henry Fool|-1|1334786|1997
An Ideal Husband|14000000|18535191|1999
One Tough Cop|-1|1220906|1998
Ronin|55000000|41609593|1998
Small Soldiers|40000000|53955614|1998
Soul in the Hole|-1|10758|1997
Among Giants|2500000|64359|1998
Analyze This|30000000|106694016|1999
The Other Sister|-1|27797271|1999
Why Do Fools Fall in Love|-1|12413650|1998
Artemisia|-1|377512|1997
Cube|365000|489220|1997
Jeanne et le garçon formidable|-1|13936|1998
Cure|1000000|94596|1997
Madeline|-1|29767901|1998
Strangeland|2000000|631221|1998
Le septième ciel|-1|69514|1997
Sparkler|-1|5494|1997
Two Girls and a Guy|1000000|1950218|1997
Very Bad Things|10000000|9801782|1998
Vor|2000000|1126115|1997
The Big One|-1|713655|1997
Blast from the Past|35000000|26494611|1999
The Cider House Rules|24000000|57536361|1999
Date with Death|-1|60000|1959
Finding North|-1|26909|1998
Return to Paradise|-1|8288513|1998
He Got Game|25000000|21554585|1998
Latin Boys Go to Hell|-1|96765|1997
Orgazmo|1000000|582024|1997
Simon Birch|30000000|18252684|1998
Thursday|-1|1971|1998
Heartbreakers|35000000|40334024|2001
De noche vienes, Esmeralda|-1|15591|1997
The Hanging Garden|1500000|925756|1997
I Think I Do|-1|344665|1997
Notting Hill|42000000|116006080|1999
Paulie|-1|27008669|1998
Sofies verden|70000000|16875|1999
Sue|-1|54585|1997
Abre los ojos|370000000|368234|1997
Man on the Moon|52000000|34580635|1999
The IMAX Nutcracker|-1|384933|1997
Outside Providence|7000000|7292175|1999
Passion in the Desert|-1|249682|1997
Qin song|-1|71906|1996
Shrek|60000000|267652016|2001
Snowriders II|-1|2287639|1997
Cookie's Fortune|-1|10919177|1999
Desert Blue|2000000|99147|1998
I Went Down|-1|405297|1997
Legionnaire|35000000|377338|1998
Pecker|6000000|2279807|1998
Pizzicata|-1|11350|1996
Santitos|-1|12131|1999
Bedrooms and Hallways|3000000|16459|1998
The Loss of Sexual Innocence|4000000|399793|1999
Election|8500000|14879556|1999
For Love of the Game|50000000|35168395|1999
Hav Plenty|650000|2301777|1997
The Ride|-1|189635|1997
Six Ways to Sunday|-1|51617|1997
Sixth Happiness|-1|1540|1997
Splendor|-1|45703|1999
The Sticky Fingers of Time|250000|18195|1997
Titanic Town|-1|59844|1998
Waking the Dead|8500000|327418|2000
Clubland|4000000|12598|1999
Dancehall Queen|35390673|162723|1997
Elizabeth|25000000|30012990|1998
Another Day in Paradise|-1|1025234|1998
Can't Hardly Wait|10000000|25339117|1998
Unmade Beds|1000000|9615|1997
Comedian Harmonists|-1|479828|1997
First Love, Last Rites|300000|40542|1997
Grey Owl|30000000|632617|1999
Instinct|55000000|34098563|1999
Nô|1500000|4868|1998
Nueba Yol 3: Bajo la nueva ley|-1|723404|1997
Rounders|12000000|22905674|1998
Rushmore|20000000|17096053|1998
Summer of the Monkeys|-1|22500|1998
You've Got Mail|65000000|115731542|1998
The Gambler|-1|9133|1997
Hell's Kitchen|6000000|9122|1998
The Iron Giant|48000000|23159305|1999
Me and the Gods|1200000|800000|1997
The Out-of-Towners|40000000|28535768|1999
Patch Adams|50000000|135014968|1998
Ravenous|12000000|2060953|1999
There's Something About Mary|23000000|176483808|1998
Arguing the World|-1|47044|1998
Buscando un sueño|-1|461661|1997
Dog Park|-1|242093|1998
La femme de chambre du Titanic|-1|244465|1997
I Still Know What You Did Last Summer|24000000|39989008|1998
I Love You, Don't Touch Me!|-1|33598|1997
Mickey Blue Eyes|40000000|33864342|1999
Sweet Jane|-1|967|1998
Aimée & Jaguar|15000000|927107|1999
Dinosaur|127500000|137748063|2000
Lola rennt|3500000|7267324|1998
Bowfinger|55000000|66365290|1999
Edtv|60000000|22362500|1999
I Got the Hook Up|3500000|10305534|1998
Maria si Mirabella in Tranzistoria|-1|44264|1989
Wing Commander|30000000|11576087|1999
The Adventures of Rocky & Bullwinkle|76000000|26000610|2000
BASEketball|-1|6940185|1998
Better Living|-1|1432|1998
Hi-Life|-1|7957|1998
Driven|72000000|32616869|2001
Mystery Men|68000000|29655590|1999
October Sky|-1|32481825|1999
At First Sight|60000000|22326247|1999
Teaching Mrs. Tingle|13000000|8946237|1999
The Matrix|63000000|171383253|1999
Naturally Native|700000|10508|1998
New Rose Hotel|-1|20416|1998
Planet of the Apes|100000000|180011740|2001
Rajio no jikan|-1|11507|1997
SLC Punk!|-1|299200|1998
Treasure Planet|140000000|38120554|2002
Los amantes del Círculo Polar|-1|504223|1998
Astérix et Obélix contre César|274620000|1541000|1999
Best Laid Plans|7000000|25651|1999
Il testimone dello sposo|-1|89263|1998
The Faculty|15000000|40064955|1998
Plunkett & Macleane|-1|474900|1999
The Rugrats Movie|28000000|100491683|1998
Scream 3|40000000|89138076|2000
The Talented Mr. Ripley|40000000|81292135|1999
8MM|40000000|36283504|1999
Mystery, Alaska|28000000|8888143|1999
Disturbing Behavior|15000000|17411331|1998
Duets|15000000|4734235|2000
Existo|-1|12175|1999
Ginger|38000|700000|1985
Pitch Black|23000000|39235088|2000
Une vraie jeune fille|-1|4788|1976
Santa vs. the Snowman|-1|10232980|1997
Shvil Hahalav|-1|1098|1997
Hideous Kinky|12000000|1262786|1998
Jerome|-1|3015|1998
200 Cigarettes|6000000|6851636|1999
Arlington Road|21500000|24362501|1999
Billy's Hollywood Screen Kiss|-1|2020700|1998
Les Boys II|4700000|5974732|1998
Conte d'automne|-1|2082061|1998
Entrapment|66000000|87704396|1999
Fight Club|63000000|37023395|1999
Shakespeare in Love|25000000|100241322|1998
The 24 Hour Woman|2500000|109148|1999
The Astronaut's Wife|34000000|10654581|1999
Edge of Seventeen|-1|870751|1998
Head On|-1|378667|1998
Hit and Runway|1200000|81570|1999
Idle Hands|20000000|4002955|1999
Intolerable Cruelty|60000000|35327628|2003
Man of the Century|-1|33031|1999
Kurt & Courtney|-1|441808|1998
The Man with Rain in His Shoes|-1|258464|1998
Het ondergrondse orkest|-1|5809|1998
The Opportunists|-1|581142|2000
Pi|60000|3216970|1998
The Road to El Dorado|95000000|50802661|2000
Three Seasons|-1|2019237|1999
The Yards|20000000|882710|2000
20 Dates|60000|536767|1998
2by4|-1|16637|1998
Cruel Intentions|11000000|38201895|1999
Floating|-1|5651|1999
Go|6500000|16842303|1999
High Art|-1|1929168|1998
The Joyriders|-1|64579|1999
Lake Placid|27000000|31768374|1999
Message in a Bottle|30000000|52799004|1999
Modulations|-1|138425|1998
Regarde la mer|-1|49476|1997
Slam|1000000|982214|1998
Training Day|45000000|76261036|2001
True Crime|-1|16635339|1999
Varsity Blues|16000000|52885587|1999
The Thirteenth Floor|16000000|11802224|1999
Badsha|-1|7397000|1995
Bastards|-1|503|1999
The Boys|-1|2930|1998
Così ridevano|-1|44286|1998
In God's Hands|-1|1379977|1998
The Insider|68000000|28965197|1999
A Midsummer Night's Dream|-1|16071990|1999
Mumford|28000000|4554569|1999
Some Nudity Required|-1|5532|1998
Whatever|-1|307037|1998
Air Bud: Golden Receiver|-1|10215386|1998
Central do Brasil|2900000|5595428|1998
Forces of Nature|75000000|52878756|1999
Free Enterprise|-1|30193|1998
Jack Frost|50000000|34545030|1998
Inspector Gadget|75000000|97360069|1999
Isn't She Great|36000000|2954405|2000
Classified X|-1|65|1998
Out of the Past|-1|8688|1998
Die Siebtelbauern|-1|196452|1998
Town & Country|90000000|6712451|2001
U-571|62000000|77086030|2000
The War Zone|-1|237029|1999
Wild Man Blues|-1|425788|1997
Baby Doom|-1|272670|1998
The Corruptor|-1|15156200|1999
Crazy in Alabama|15000000|1954202|1999
Histoires d'hiver|2300000|138411|1999
Down in the Delta|-1|5662985|1998
I'm Losing You|-1|12688|1998
The Ninth Gate|38000000|18653746|1999
De Poolse bruid|-1|82638|1998
Resurrection|10000000|5020860|1999
The World Is Not Enough|135000000|126930660|1999
Friends & Lovers|-1|94633|1999
Marie Baie des Anges|-1|111765|1997
Molly|21000000|15593|1999
Shattered Image|-1|102523|1998
American Psycho|8000000|15070285|2000
The Boondock Saints|7000000|25812|1999
Bride of Chucky|25000000|32368960|1998
The Cherry Orchard|5000000|131188|1999
Committed|3000000|40361|2000
Dick|13000000|6241697|1999
Dreaming of Joseph Lees|2000000|7680|1999
La fille sur le pont|-1|1708496|1999
The General's Daughter|60000000|102678089|1999
Nutty Professor II: The Klumps|84000000|123307945|2000
Outside Ozona|-1|7394|1998
Shadrach|-1|20167|1998
Three to Tango|20000000|10544143|1999
Wildflowers|-1|5365|1999
Holy Smoke|-1|1758780|1999
The Brandon Teena Story|-1|40999|1998
The Rage: Carrie 2|21000000|17757087|1999
Highlander: Endgame|15000000|12801190|2000
A Place Called Chiapas|891000|229793|1998
Spider-Man|139000000|403706375|2002
Sunshine|-1|5095981|1999
Stigmata|32000000|50041732|1999
Angela's Ashes|25000000|13038660|1999
Austin Powers: The Spy Who Shagged Me|33000000|205399422|1999
The Bone Collector|48000000|66488090|1999
Playing by Heart|14000000|3956212|1998
Simply Irresistible|6000000|4394936|1999
Mysteries of Egypt|-1|40593286|1998
Naqoyqatsi|3000000|132026|2002
Thirteen Days|80000000|34566746|2000
Lara Croft: Tomb Raider|80000000|131144183|2001
Urban Legend|14000000|38048637|1998
Buddy Boy|-1|10281|1999
Cleopatra's Second Husband|-1|205547|1998
El día que murió el silencio|-1|1742|1998
End of Days|83000000|66862068|1999
Any Given Sunday|62000000|75530832|1999
High Fidelity|20000000|27277055|2000
The Legend of Bagger Vance|60000000|30695227|2000
Like It Is|-1|94943|1998
Little Voice|-1|4595000|1998
Olympia|-1|640|1998
Praise|-1|30432|1998
Happiness|3000000|2746453|1998
10 Things I Hate About You|16000000|38176108|1999
Emporte-moi|-1|73445|1999
Looking for an Echo|-1|8000|2000
Men Cry Bullets|-1|2303|1997
Still Crazy|-1|477903|1998
Deep Blue Sea|78000000|73648142|1999
Where the Money Is|18000000|5658940|2000
All the Pretty Horses|57000000|15527125|2000
Anywhere But Here|23000000|18653615|1999
Besieged|-1|2032621|1998
Broken Vessels|600000|13493|1998
Claire Dolan|-1|9480|1998
Coming Soon|-1|3742|1999
Cradle Will Rock|32000000|2899970|1999
The Cruise|139064|238434|1998
Dear Jesse|-1|16875|1998
Divine Trash|-1|39842|1998
Double Jeopardy|40000000|116735231|1999
Earth|-1|528972|1998
Five Wives, Three Secretaries and Me|-1|4450|1998
Fucking Åmål|9000000|168761|1998
Hilary and Jackie|7000000|4874838|1998
The Messenger: The Story of Joan of Arc|390000000|14276317|1999
Josh|-1|426318|2000
Terminus paradis|-1|18137|1998
Topsy-Turvy|-1|6201757|1999
The Minus Man|-1|368808|1999
My Name Is Joe|-1|346696|1998
Excellent Cadavers|-1|10390|1999
Never Been Kissed|25000000|55469238|1999
Office Space|10000000|10824921|1999
Pariah|-1|199536|1998
Pola X|-1|172107|1999
Restaurant|-1|65512|1998
Sokout|-1|32898|1998
Spanish Fly|-1|11147|1998
Up at the Villa|-1|2927319|2000
When Love Comes|-1|3242|1998
Wirey Spindell|-1|9838|2000
Condo Painting|-1|5373|2000
Dance Me to My Song|-1|6607|1998
Festen|1300000|1647780|1998
Idioterne|2500000|7235|1998
8 ½ Women|-1|417517|1999
Following|6000|43188|1998
Hey There, It's Yogi Bear|-1|2028378|1964
Speedway Junky|1000000|17127|1999
$pent|-1|5069|2000
The Thomas Crown Affair|48000000|69304264|1999
The Winslow Boy|-1|3956112|1999
Africa's Elephant Kingdom|-1|13485455|1998
Didn't Do It for Love|-1|10525|1997
Flawless|27000000|4485485|1999
Forever Fever|1500000|19319|1998
Gloomy Sunday - Ein Lied von Liebe und Tod|-1|223827|1999
I'll Be Home for Christmas|30000000|12213678|1998
Jawbreaker|-1|3071947|1999
Kanzo sensei|-1|71832|1998
Psycho|20000000|21380220|1998
Spring Forward|2000000|102353|1999
Screwed|10000000|7027345|2000
The Big Tease|4000000|185577|1999
Mad About Mambo|-1|61663|2000
Mia aioniotita kai mia mera|-1|106486|1998
My Dog Skip|7000000|34099640|2000
Le nain rouge|-1|6499|1998
The Next Best Thing|25000000|14983572|2000
Perfect Blue|3000000|99389|1998
Sib|-1|116758|1998
Random Hearts|64000000|31054924|1999
Seul contre tous|-1|54735|1998
The Suburbans|-1|5797|1999
Trolösa|-1|734597|2000
Went to Coney Island on a Mission from God... Be Back by Five|-1|15970|1998
L'école de la chair|-1|401786|1998
Clockstoppers|26000000|36985501|2002
Drop Dead Gorgeous|10000000|10561238|1999
Dillagi|-1|432200|1978
Enga Veetu Pillai|-1|719000|1965
Enigma|-1|4298329|2001
La Cucaracha|3000000|32142|1998
The Mirror|-1|11417|1998
Nora|-1|12297|2000
River Red|-1|2197|1998
Under solen|-1|288083|1998
Sweet and Lowdown|29750000|4196621|1999
Belly|10000000|9630169|1998
C't'à ton tour, Laura Cadieux|-1|1633000|1998
Deterrence|800000|144583|1999
The Flintstones in Viva Rock Vegas|58000000|35231365|2000
Muppets from Space|24000000|16290976|1999
South Park: Bigger Longer & Uncut|21000000|52008288|1999
The Virgin Suicides|6000000|4859475|1999
Beautiful People|-1|261360|1999
Behind Enemy Lines|40000000|59068786|2001
Cold Mountain|83000000|95632614|2003
Cotton Mary|3500000|299351|1999
Croupier|-1|6198916|1998
The Adventures of Elmo in Grouchland|17000000|11634458|1999
Encounter in the Thrid Dimension|-1|7195401|1999
Relax... It's Just Sex|-1|452654|1998
The Art of War|40000000|30199105|2000
Charlie's Angels|92000000|125305545|2000
D-Tox|55000000|79161|2002
A Dog of Flanders|7000000|2148212|1999
Dudley Do-Right|70000000|9694105|1999
Trippin'|-1|9016377|1999
Guinevere|2600000|614202|1999
Imelda|-1|220000|2003
Impostor|40000000|6114237|2001
In Too Deep|7000000|14003141|1999
The Independent|-1|238431|2000
The King and I|-1|11956538|1999
Lost Souls|28000000|16779636|2000
Luminarias|1000000|428535|2000
Agnes Browne|-1|140426|1999
A Map of the World|-1|544538|1999
Passion of Mind|-1|769009|2000
Joe the King|-1|59014|1999
Punks|-1|147593|2000
Rules of Engagement|60000000|61322858|2000
She's All That|10000000|63319509|1999
The Story of Us|50000000|27067160|1999
Tumbleweeds|312000|1281176|1999
What Lies Beneath|90000000|155370362|2000
What's the Worst That Could Happen?|45000000|32095318|2001
The Wood|6000000|25047631|1999
The Young Girl and the Monsoon|-1|8759|1999
Steal This Movie|-1|76053|2000
The Last Big Thing|-1|22434|1996
Nirgendwo in Afrika|7000000|6173485|2001
Revelation|5000000|206626|1999
Simon Magus|-1|38214|1999
Tuvalu|-1|408744|1999
Two Ninas|-1|10976|1999
Yom Yom|-1|2442|1998
Cast Away|90000000|233630478|2000
Just Looking|3000000|39852|1999
Ghost World|7000000|6200756|2001
Goat on Fire and Smiling Fish|40000|277233|1999
Happy, Texas|1700000|1943649|1999
Shaft|44000000|70334258|2000
Sleepy Hollow|65000000|101068340|1999
A Slipping-Down Life|-1|95436|1999
Summer of Sam|22000000|19283782|1999
Trick|450000|2049595|1999
Trixie|-1|285618|2000
Twin Falls Idaho|500000|985341|1999
Three Days of Rain|3500000|2841|2002
Jing Ke ci Qin Wang|-1|1328435|1998
Catfish in Black Bean Sauce|-1|1315573|1999
Get Real|-1|1152411|1998
Hanging Up|60000000|36037909|2000
Jurassic Park III|93000000|181166115|2001
Placebo Effect|-1|1190|1998
Rosie|-1|9579|1998
Runaway Bride|70000000|152149590|1999
Bravo|250000|2345000|1998
Chill Factor|34000000|11227940|1999
Galapagos: The Enchanted Voyage|-1|16946586|1999
American Pie|11000000|101736215|1999
The In Crowd|15000000|5217498|2000
The Debut|-1|1743570|2000
T-Rex: Back to the Cretaceous|-1|53134645|1998
Bless the Child|40000000|29374178|2000
Blood, Guts, Bullets and Octane|7300|13674|1998
Bringing Out the Dead|32000000|16640210|1999
City of Ghosts|17500000|325491|2002
Happenstance|-1|251444|1997
Hollow Man|95000000|73209340|2000
Limbo|8300000|1997807|1999
The Muse|15000000|11614236|1999
Drive Me Crazy|8000000|17843379|1999
Stir of Echoes|12000000|21133087|1999
The Sum of All Fears|68000000|118471320|2002
Under Suspicion|25000000|258691|2000
Virtual Sexuality|-1|43865|1999
42: Forty Two Up|-1|259068|1998
Along Came a Spider|28000000|74058698|2001
Ingagi|-1|4000000|1930
Kærlighed ved første hik|-1|3328487|1999
Mifunes sidste sang|-1|585016|1999
Stuart Little|103000000|140015224|1999
Spriggan|-1|7420|1998
Vidocq|152000000|565693|2001
Wandâfuru raifu|-1|801985|1998
Ringmaster|3500000|9247881|1998
Detroit Rock City|15000000|4193025|1999
Felicia's Journey|-1|819852|1999
Ghost Dog: The Way of the Samurai|-1|3300230|1999
Held Up|8000000|4692814|1999
The Limey|9000000|3193102|1999
Liberty Heights|-1|3732398|1999
Romeo Must Die|25000000|55973336|2000
Sinbad: Legend of the Seven Seas|60000000|26288320|2003
The Tic Code|-1|203849|1999
Babar: King of the Elephants|-1|49090|1999
Bones|16000000|7307756|2001
East Is East|1900000|4170647|1999
Foolish|2000000|6026908|1999
The Love Letter|15000000|8276228|1999
Monkeybone|75000000|5409517|2001
Solan, Ludvig og Gurin med reverompa|35000000|3326176|1998
Waking Ned|3000000|24788807|1998
Anna and the King|75000000|39251128|1999
Cry of the Wild|75000|4500000|1973
Luminous Motion|-1|51380|1998
Spirit: Stallion of the Cimarron|80000000|73215310|2002
The Straight Story|10000000|6197866|1999
Mulholland Dr.|15000000|7219578|2001
Music of the Heart|27000000|14849583|1999
The Adventures of the American Rabbit|-1|1049042|1986
Den eneste ene|-1|5405313|1999
Hellboy|66000000|59035104|2004
I Dreamed of Africa|34000000|6543194|2000
The Lord of the Rings: The Return of the King|94000000|377027325|2003
The Lord of the Rings: The Two Towers|94000000|340478898|2002
The Sixth Sense|55000000|293501675|1999
Diamonds|-1|81897|1999
Superstar|14000000|30628981|1999
Thunderbirds|57000000|6768055|2004
Fin août, début septembre|-1|36662|1998
Les enfants du Marais|-1|324006|1999
Simon Sez|-1|292152|1999
The Stewardesses|100000|25000000|1969
Aberdeen|6500000|64148|2000
The Adventures of Sebastian Cole|-1|100041|1998
Babymother|2000000|5115|1998
Mei shao nian zhi lian|-1|18629|1998
Bittersweet Motel|-1|380927|2000
Can't Be Heaven|2000000|7000000|2000
La ciudad|-1|239074|1998
Dancer in the Dark|120000000|4184036|2000
L'ennui|-1|36666|1998
Antwone Fisher|12500000|21078145|2002
The Five Senses|-1|497091|1999
Freeriders|-1|2750064|1998
Hjælp, jeg er en fisk|-1|23742|2000
J'aimerais pas crever un dimanche|-1|4488|1998
Just One Time|-1|23374|1999
Let It Come Down: The Life of Paul Bowles|-1|9188|1998
Better Than Chocolate|-1|2011254|1999
Lagaan: Once Upon a Time in India|250000000|70147|2001
Bure baruta|-1|108103|1998
The Quarry|-1|3350|1998
Terror Firmer|-1|1434|1999
Theeviravaathi: The Terrorist|1091250|140021|1999
Trans|-1|9623|1998
Windhorse|-1|278161|1998
American Beauty|15000000|130058047|1999
Biker Dreams|-1|2057|1998
Blindness|-1|1950260|1998
Bornholms stemme|-1|725854|1999
How the Grinch Stole Christmas|123000000|260031035|2000
Prince of Central Park|-1|5810|2000
Tigerland|-1|139500|2000
Train de vie|-1|154790|1998
Winnie the Pooh and a Day for Eeyore|-1|12000000|1983
Brown's Requiem|-1|3077|1998
Family Tree|-1|12466|1999
Gun Shy|10000000|1631839|2000
Hamlet|2000000|1568749|2000
The Haunting|80000000|91188905|1999
Keeping the Faith|30000000|37036404|2000
Nurse Betty|24000000|25167270|2000
Ratcatcher|-1|216781|1999
Soft Toilet Seats|-1|880|1999
Boys Don't Cry|2000000|11533945|1999
Wonderland|-1|413595|1999
Bad Boys II|130000000|138396624|2003
Ballen i øyet|-1|28414|2000
Bloodsport: The Dark Kumite|-1|11627|1999
The End of the Affair|23000000|10660147|1999
Fuori dal mondo|-1|84073|1999
Girl, Interrupted|40000000|28871190|1999
Gladiator|103000000|187670866|2000
Gaai tau saat sau|-1|14569178|1996
Body Shots|-1|239894|1999
Joe Gould's Secret|-1|641117|2000
Kuch Kuch Hota Hai|-1|2100000|1998
Light It Up|13000000|5871603|1999
Sugar Town|250000|177840|1999
Cecil B. DeMented|10000000|1276984|2000
Il mio viaggio in Italia|-1|8527|1999
Final Fantasy: The Spirits Within|137000000|32131830|2001
Running Free|25000000|101431|1999
Simpatico|-1|902144|1999
The Third Miracle|-1|736592|1999
Whipped|3000000|4142507|2000
Autumn in New York|40000000|37752931|2000
Misery Harbour|-1|239139|1999
Herman U.S.A.|-1|71509|2001
The Last Days|-1|419762|1998
The Hurricane|38000000|50668906|1999
Loving Jezebel|-1|69470|1999
Schpaaa|-1|450552|1998
Scary Movie|19000000|156997084|2000
Shiloh 2: Shiloh Season|-1|2765|1999
30 Days|-1|9709|1999
Dancemaker|-1|240514|1998
Just a Little Harmless Sex|-1|66194|1998
Lenny Bruce: Swear to Tell the Truth|-1|21350|1998
Magnolia|37000000|22450975|1999
Na ge bu gou|800000|452000|1999
La otra conquista|3500000|886410|1998
The Personals|-1|5870|1999
Single Action|11000|543000|1998
Universal Soldier: The Return|19000000|10431220|1999
El abuelo|400000000|50037|1998
Alice et Martin|-1|498106|1998
All the Rage|-1|9268|1999
Homo Sapiens 1900|-1|1257|1998
Kids World|-1|14387|2001
Once in the Life|-1|53454|2000
The Wolves of Kromer|-1|11057|1998
Company Man|16000000|146028|2000
Les enfants du siècle|-1|54912|1999
Fever|6000000|4068|1999
Galaxy Quest|45000000|71423726|1999
King of the Jungle|-1|27161|2000
The Perfect Storm|140000000|182618434|2000
Sunset Strip|-1|3926|2000
The Invisible Circus|-1|55388|2001
Mansfield Park|-1|4764741|1999
A Reasonable Man|61000|45000|1999
Whiteboyz|-1|36025|1999
Third World Cop|-1|40717|1999
American Pimp|650000|258148|1999
Moonlight Mile|21000000|6835856|2002
But I'm a Cheerleader|1200000|2199853|1999
South of Heaven, West of Hell|-1|16609|2000
15 Minutes|42000000|24375436|2001
The Adventures of Pluto Nash|100000000|4411102|2002
Quills|-1|7060876|2000
Requiem for a Dream|4500000|3609278|2000
Soft Fruit|-1|11132|1999
Vietnam Long Time Coming|-1|951|1998
The Weekend|-1|31043|1999
Elvis Gratton II: Miracle à Memphis|3000000|3116000|1999
Hallelujah! Ron Athey: A Story of Deliverance|-1|719|1998
Hard Ball|21000000|40219708|2001
Holy for Me|7000|21000|1995
I Kina spiser de hunde|-1|1520625|1999
Klinkevals|-1|1987371|1999
The Last September|-1|469974|1999
Bossa Nova|-1|1816792|2000
Vanishing Wilderness|-1|17000000|1974
What Planet Are You From?|50000000|6291602|2000
American Movie|-1|1160426|1999
Blue Streak|36000000|68208190|1999
Est - Ouest|-1|2775520|1999
Finding Forrester|43000000|51768623|2000
Judy Berlin|-1|467313|1999
Minority Report|102000000|132014112|2002
On the Ropes|-1|47074|1999
Osmosis Jones|75000000|13596911|2001
Regret to Inform|-1|22627|1998
Sex: The Annabel Chong Story|-1|233076|1999
Solomon and Gaenor|-1|301754|1999
The Source|-1|360895|1999
The Specials|-1|12996|2000
Terminator 3: Rise of the Machines|200000000|150350192|2003
Traffic|48000000|124107476|2000
